Section,Task Type,Skills Tested,Marks Contribution
Speaking,Read Aloud,Speaking + Reading,6-7
Speaking,Repeat Sentence,Speaking + Listening,7-8
Speaking,Describe Image,Speaking,3-4
Speaking,Re-tell Lecture,Speaking + Listening,4-5
Speaking,Answer Short Question,Speaking + Listening,2-3
Writing,Summarize Written Text,Writing + Reading,8-10
Writing,Essay Writing,Writing,12-15
Reading,Multiple Choice (Single),Reading,1-2
Reading,Multiple Choice (Multiple),Reading,1-2
Reading,Re-order Paragraphs,Reading,2-3
Reading,Reading: Fill in the Blanks,Reading,4-6
Reading,Reading & Writing: Fill in Blanks,Reading + Writing,6-8
Listening,Summarize Spoken Text,Listening + Writing,8-10
Listening,Multiple Choice (Multiple),Listening,1-2
Listening,Fill in the Blanks,Listening + Writing,4-6
Listening,Highlight Correct Summary,Listening,1-2
Listening,Multiple Choice (Single),Listening,1-2
Listening,Select Missing Word,Listening,1-2
Listening,Highlight Incorrect Words,Listening + Reading,2-3
Listening,Write from Dictation,Listening + Writing,6-8
